# Logfile created on 2026-03-18 18:18:21 +0100 by logger.rb/v1.5.3
2026-03-18 18:18:21 +0100: Memory Usage (426532K) : Starting running IHP-SG13CMOS5L KLayout DRC runset on /home/daniel/work/aesc/i2c-gpio-expander/build/I2cGpioExpander/SG13CMOS5L/orfs/results/ihp-sg13cmos5l/SG13CMOS5LTop/base/6_final.gds
2026-03-18 18:18:21 +0100: Memory Usage (426532K) : Ruby Version for klayout: 3.2.3
2026-03-18 18:18:21 +0100: Memory Usage (467248K) : Loading database to memory is complete.
2026-03-18 18:18:21 +0100: Memory Usage (467248K) : IHP-SG13CMOS5L KLayout DRC runset output at: /home/daniel/work/aesc/i2c-gpio-expander/build/I2cGpioExpander/SG13CMOS5L/drc/6_final_SG13CMOS5LTop_latchup.lyrdb
2026-03-18 18:18:21 +0100: Memory Usage (467376K) : Evaluate switches.
2026-03-18 18:18:21 +0100: Memory Usage (467376K) : tables selected: latchup
2026-03-18 18:18:21 +0100: Memory Usage (467376K) : KLayout will use 16 thread(s) in tiled mode.
2026-03-18 18:18:21 +0100: Memory Usage (467376K) : deep mode is enabled.
2026-03-18 18:18:21 +0100: Memory Usage (467376K) : FEOL enabled: false
2026-03-18 18:18:21 +0100: Memory Usage (467376K) : BEOL enabled: false
2026-03-18 18:18:21 +0100: Memory Usage (467376K) : OFFGRID enabled: true
2026-03-18 18:18:21 +0100: Memory Usage (467376K) : ANGLE enabled: true
2026-03-18 18:18:21 +0100: Memory Usage (467376K) : PIN enabled: false
2026-03-18 18:18:21 +0100: Memory Usage (467376K) : FORBIDDEN enabled: false
2026-03-18 18:18:21 +0100: Memory Usage (467376K) : RECOMMENDED enabled: false
2026-03-18 18:18:21 +0100: Memory Usage (467376K) : PreCheck DRC enabled: false
2026-03-18 18:18:21 +0100: Memory Usage (467376K) : CONNECTIVITY_RULES enabled: false.
2026-03-18 18:18:21 +0100: Memory Usage (467376K) : Read in polygons from layers.
2026-03-18 18:18:21 +0100: Memory Usage (469040K) : activ_drw has 42142 polygons
2026-03-18 18:18:21 +0100: Memory Usage (469040K) : activ_pin has 0 polygons
2026-03-18 18:18:21 +0100: Memory Usage (469040K) : activ_mask has 0 polygons
2026-03-18 18:18:21 +0100: Memory Usage (469168K) : activ_filler has 15649 polygons
2026-03-18 18:18:21 +0100: Memory Usage (469424K) : activ_nofill has 0 polygons
2026-03-18 18:18:21 +0100: Memory Usage (469424K) : activ_opc has 0 polygons
2026-03-18 18:18:21 +0100: Memory Usage (469424K) : activ_iopc has 0 polygons
2026-03-18 18:18:21 +0100: Memory Usage (469424K) : activ_noqrc has 0 polygons
2026-03-18 18:18:21 +0100: Memory Usage (469424K) : biwind_drw has 0 polygons
2026-03-18 18:18:21 +0100: Memory Usage (469424K) : biwind_opc has 0 polygons
2026-03-18 18:18:21 +0100: Memory Usage (469424K) : pemwind_drw has 0 polygons
2026-03-18 18:18:21 +0100: Memory Usage (469424K) : gatpoly_drw has 34759 polygons
2026-03-18 18:18:21 +0100: Memory Usage (469424K) : gatpoly_pin has 0 polygons
2026-03-18 18:18:21 +0100: Memory Usage (469552K) : gatpoly_filler has 15254 polygons
2026-03-18 18:18:21 +0100: Memory Usage (469808K) : gatpoly_nofill has 0 polygons
2026-03-18 18:18:21 +0100: Memory Usage (469808K) : gatpoly_opc has 0 polygons
2026-03-18 18:18:21 +0100: Memory Usage (469808K) : gatpoly_iopc has 0 polygons
2026-03-18 18:18:21 +0100: Memory Usage (469808K) : gatpoly_noqrc has 0 polygons
2026-03-18 18:18:22 +0100: Memory Usage (481584K) : cont_drw has 2083278 polygons
2026-03-18 18:18:22 +0100: Memory Usage (481584K) : cont_opc has 0 polygons
2026-03-18 18:18:22 +0100: Memory Usage (481584K) : nsd_drw has 0 polygons
2026-03-18 18:18:22 +0100: Memory Usage (481584K) : nsd_block has 0 polygons
2026-03-18 18:18:22 +0100: Memory Usage (481584K) : metal1_drw has 51579 polygons
2026-03-18 18:18:22 +0100: Memory Usage (481584K) : metal1_pin has 24361 polygons
2026-03-18 18:18:22 +0100: Memory Usage (481584K) : metal1_mask has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (487856K) : metal1_filler has 209228 polygons
2026-03-18 18:18:23 +0100: Memory Usage (487856K) : metal1_nofill has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (487856K) : metal1_slit has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (488112K) : metal1_text has 24288 polygons
2026-03-18 18:18:23 +0100: Memory Usage (488112K) : metal1_opc has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (488112K) : metal1_noqrc has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (488112K) : metal1_res has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (488112K) : metal1_iprobe has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (488112K) : metal1_diffprb has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (488112K) : passiv_drw has 32 polygons
2026-03-18 18:18:23 +0100: Memory Usage (488112K) : passiv_pin has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (488112K) : passiv_sbump has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (488112K) : passiv_pillar has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (488112K) : passiv_pdl has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (488112K) : metal2_drw has 16875 polygons
2026-03-18 18:18:23 +0100: Memory Usage (488112K) : metal2_pin has 360 polygons
2026-03-18 18:18:23 +0100: Memory Usage (488112K) : metal2_mask has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (497968K) : metal2_filler has 368363 polygons
2026-03-18 18:18:23 +0100: Memory Usage (497968K) : metal2_nofill has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (497968K) : metal2_slit has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (497968K) : metal2_text has 360 polygons
2026-03-18 18:18:23 +0100: Memory Usage (497968K) : metal2_opc has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (497968K) : metal2_noqrc has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (497968K) : metal2_res has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (497968K) : metal2_iprobe has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (497968K) : metal2_diffprb has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (497968K) : baspoly_drw has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (497968K) : baspoly_pin has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (497968K) : psd_drw has 20462 polygons
2026-03-18 18:18:23 +0100: Memory Usage (497968K) : nldb_drw has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (497968K) : digibnd_drw has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (497968K) : via1_drw has 54122 polygons
2026-03-18 18:18:23 +0100: Memory Usage (497968K) : backmetal1_drw has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (497968K) : backmetal1_pin has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (497968K) : backmetal1_mask has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (497968K) : backmetal1_filler has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (497968K) : backmetal1_nofill has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (497968K) : backmetal1_slit has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (497968K) : backmetal1_text has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (497968K) : backmetal1_opc has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (497968K) : backmetal1_noqrc has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (497968K) : backmetal1_res has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (497968K) : backmetal1_iprobe has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (497968K) : backmetal1_diffprb has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (497968K) : backpassiv_drw has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (497968K) : res_drw has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (497968K) : sram_drw has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (497968K) : trans_drw has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (497968K) : ind_drw has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (497968K) : ind_pin has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (497968K) : ind_text has 0 polygons
2026-03-18 18:18:23 +0100: Memory Usage (497968K) : salblock_drw has 17 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : via2_drw has 79413 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : metal3_drw has 8811 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : metal3_pin has 420 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : metal3_mask has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : metal3_filler has 29063 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : metal3_nofill has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : metal3_slit has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : metal3_text has 420 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : metal3_opc has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : metal3_noqrc has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : metal3_res has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : metal3_iprobe has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : metal3_diffprb has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : nwell_drw has 10406 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : nwell_pin has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : nbulay_drw has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : nbulay_pin has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : nbulay_block has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : emwind_drw has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : emwind_opc has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : deepco_drw has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : deepco_drw has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : mim_drw has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : edgeseal_drw has 24 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : edgeseal_bound has 1 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : substrate_drw has 573 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : substrate_text has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : dfpad_drw has 20 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : dfpad_pillar has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : dfpad_sbump has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : thickgateox_drw has 65 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : pldb_drw has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : pwell_drw has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : pwell_pin has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : pwell_block has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : ic_drw has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : via3_drw has 77937 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : metal4_drw has 1787 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : metal4_pin has 397 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : metal4_mask has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : metal4_filler has 29418 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : metal4_nofill has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : metal4_slit has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : metal4_text has 386 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : metal4_opc has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : metal4_noqrc has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : metal4_res has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : metal4_iprobe has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : metal4_diffprb has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : heattrans_drw has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : heatres_drw has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : pempoly_drw has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : fbe_drw has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : empoly_drw has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : ldmos_drw has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : pbiwind_drw has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : digisub_drw has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : nodrc_drw has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : text_drw has 519 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : via4_drw has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : metal5_drw has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : metal5_pin has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : metal5_mask has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : metal5_filler has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : metal5_nofill has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : metal5_slit has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : metal5_text has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : metal5_opc has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : metal5_noqrc has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : metal5_res has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : metal5_iprobe has 0 polygons
2026-03-18 18:18:24 +0100: Memory Usage (497968K) : metal5_diffprb has 0 polygons
